,Category,Message
1200,ham,"['neft', 'marketword', 'with', 'reference', 'number', '&lt;#&gt;', 'for', 'rs.', '&lt;decimal&gt;', 'has', 'been', 'credited', 'to', 'the', 'beneficiary', 'account', 'on', '&lt;#&gt;', 'at', '&lt;time&gt;', ':', '&lt;#&gt;']"
1201,ham,"['otherwise', 'had', 'part', 'time', 'job', 'na-tuition..']"
1202,ham,"['i', 'know', 'she', 'called', 'me']"
1203,ham,"['me', 'also', 'da,', 'i', 'feel', 'yesterday', 'night', 'wait', 'til', '2day', 'night', 'dear.']"
1204,ham,"['thanks', 'for', 'understanding.', ""i've"", 'been', 'trying', 'to', 'tell', 'sura', 'that.']"
1205,spam,"['win', 'a', 'year', 'supply', 'of', 'cds', '4', 'a', 'store', 'of', 'ur', 'choice', 'worth', '£500', '&', 'enter', 'our', '£100', 'weekly', 'draw', 'txt', 'music', 'to', '87066', 'ts&cs', 'website']"
1206,ham,"['the', 'whole', 'car', 'appreciated', 'the', 'last', 'two!', 'dad', 'and', 'are', 'having', 'a', 'map', 'reading', 'semi', 'argument', 'but', 'apart', 'from', 'that', 'things', 'are', 'going', 'ok.', 'p.']"
1207,spam,"['as', 'a', 'sim', 'subscriber,', 'you', 'are', 'selected', 'to', 'receive', 'a', 'bonus!', 'get', 'it', 'delivered', 'to', 'your', 'door,', 'txt', 'the', 'word', 'ok', 'to', 'no:', '88600', 'to', 'claim.', 'costperperiod', 'exp.', '30apr']"
1208,ham,"['i', 'need', 'you', 'to', 'be', 'in', 'my', 'strong', 'arms...']"
1209,ham,"['also', 'maaaan', 'are', 'you', 'missing', 'out']"
1210,ham,"['his', 'bday', 'real', 'is', 'in', 'april', '.']"
1211,ham,"['guessin', 'you', ""ain't"", 'gonna', 'be', 'here', 'before', '9?']"
1212,ham,"['ok', 'then', 'i', 'will', 'come', 'to', 'ur', 'home', 'after', 'half', 'an', 'hour']"
1213,ham,"['yo,', 'the', 'game', 'almost', 'over?', 'want', 'to', 'go', 'to', 'walmart', 'soon']"
1214,ham,"['yeah,', 'probably', 'but', 'not', 'sure.', 'ilol', 'let', 'u', 'know,', 'but', 'personally', 'i', 'wuldnt', 'bother,', 'then', 'again', 'if', 'ur', 'goin', 'to', 'then', 'i', 'mite', 'as', 'well!!']"
1215,ham,"[""i'll"", 'text', 'now!', 'all', 'creepy', 'like', 'so', 'he', ""won't"", 'think', 'that', 'we', 'forgot']"
1216,ham,"['that', 'would', 'be', 'good', '…', ""i'll"", 'phone', 'you', 'tomo', 'lunchtime,', 'shall', 'i,', 'to', 'organise', 'something?']"
1217,spam,"['you', 'have', '1', 'new', 'voicemail.', 'please', 'call', 'phonenumber']"
1218,ham,"['damn,', 'can', 'you', 'make', 'it', 'tonight', 'or', 'do', 'you', 'want', 'to', 'just', 'wait', 'til', 'tomorrow']"
1219,ham,"[""k..k..i'm"", 'also', 'fine:)when', 'will', 'you', 'complete', 'the', 'course?']"
1220,ham,"['true.', 'it', 'is', 'passable.', 'and', 'if', 'you', 'get', 'a', 'high', 'score', 'and', 'apply', 'for', 'phd,', 'you', 'get', '5years', 'of', 'salary.', 'so', 'it', 'makes', 'life', 'easier.']"
1221,spam,"['no.', '1', 'nokia', 'tone', '4', 'ur', 'mob', 'every', 'week!', 'just', 'txt', 'nok', 'to', '87021.', '1st', 'tone', 'marketword', '!', 'so', 'get', 'txtin', 'now', 'and', 'tell', 'ur', 'friends.', 'costperperiod', '16', 'reply', 'hl', '4info']"
1222,ham,"['prakesh', 'is', 'there', 'know.']"
1223,ham,"['teach', 'me', 'apps', 'da.', 'when', 'you', 'come', 'to', 'college.']"
1224,ham,"['rofl', 'betta', 'invest', 'in', 'some', 'anti', 'aging', 'products']"
1225,spam,"['you', 'are', 'a', 'winner', 'u', 'have', 'been', 'specially', 'selected', '2', 'receive', '£1000', 'cash', 'or', 'a', '4*', 'holiday', '(flights', 'inc)', 'speak', 'to', 'a', 'live', 'operator', '2', 'claim', 'phonenumber']"
1226,ham,"['sir,', 'you', 'will', 'receive', 'the', 'account', 'no', 'another', '1hr', 'time.', 'sorry', 'for', 'the', 'delay.']"
1227,spam,"['reply', 'with', 'your', 'name', 'and', 'address', 'and', 'you', 'will', 'receive', 'by', 'post', 'a', 'weeks', 'completely', 'marketword', 'accommodation', 'at', 'various', 'global', 'locations', 'website', 'ph:08700435505150p']"
1228,ham,"['so', ""ü'll"", 'be', 'submitting', 'da', 'project', 'tmr', 'rite?']"
1229,spam,"['marketword', 'entry', 'into', 'our', '£250', 'weekly', 'comp', 'just', 'send', 'the', 'word', 'enter', 'to', '84128', 'now.', '18', 't&c', 'website', 'cust', 'care', 'phonenumber']"
1230,ham,"['jus', 'ans', 'me', 'lar.', ""u'll"", 'noe', 'later.']"
1231,ham,"['i', 'want', 'to', 'send', 'something', 'that', 'can', 'sell', 'fast.', '&lt;#&gt;', 'k', 'is', 'not', 'easy', 'money.']"
1232,ham,"['have', 'got', '*', 'few', 'things', 'to', 'do.', 'may', 'be', 'in', '*', 'pub', 'later.']"
1233,ham,"[""1's"", 'finish', 'meeting', 'call', 'me.']"
1234,ham,"['lol', 'ok.', ""i'll"", 'snatch', 'her', 'purse', 'too.']"
1235,ham,"['hello-/@drivby-:0quit', 'edrunk', 'sorry', 'iff', 'pthis', 'makes', 'no', 'senrd-dnot', 'no', 'how', '^', 'dancce', '2', 'drum', 'n', 'basq!ihave', 'fun', '2nhite', 'x', 'ros', 'xxxxxxx']"
1236,ham,"['your', 'opinion', 'about', 'me?', '1.', 'over', '2.', 'jada', '3.', 'kusruthi', '4.', 'lovable', '5.', 'silent', '6.', 'spl', 'character', '7.', 'not', 'matured', '8.', 'stylish', '9.', 'simple', 'pls', 'reply..']"
1237,ham,"['how', 'much', 'are', 'we', 'getting?']"
1238,ham,"['is', 'ur', 'paper', 'in', 'e', 'morn', 'or', 'aft', 'tmr?']"
1239,ham,"['dear', 'relieved', 'of', 'westonzoyland,', 'all', 'going', 'to', 'plan', 'this', 'end', 'too!']"
1240,ham,"['hope', 'you', 'are', 'having', 'a', 'great', 'new', 'semester.', 'do', 'wish', 'you', 'the', 'very', 'best.', 'you', 'are', 'made', 'for', 'greatness.']"
1241,ham,"['oh', 'yes', 'i', 'can', 'speak', 'txt', '2', 'u', 'no!', 'hmm.', 'did', 'u', 'get', 'email?']"
1242,ham,"['i', 'want', 'to', 'show', 'you', 'the', 'world,', 'princess', ':)', 'how', 'about', 'europe?']"
1243,ham,"['nobody', 'can', 'decide', 'where', 'to', 'eat', 'and', 'dad', 'wants', 'chinese']"
1244,ham,"['no', 'shoot', 'me.', ""i'm"", 'in', 'the', 'docs', 'waiting', 'room.', ':/']"
1245,ham,"['now?', ""i'm"", 'going', 'out', '4', 'dinner', 'soon..']"
1246,ham,"['hello', 'which', 'the', 'site', 'to', 'download', 'songs', 'its', 'urgent', 'pls']"
1247,ham,"['i', 'do', 'know', 'what', 'u', 'mean,', 'is', 'the', 'king', 'of', 'not', 'havin', 'credit!', ""i'm"", 'goin2bed', 'now.', 'night', 'night', 'sweet!', 'only1more', 'sleep!']"
1248,ham,"['horrible', 'gal.', 'me', 'in', 'sch', 'doing', 'some', 'stuff.', 'how', 'come', 'u', 'got', 'mc?']"
1249,ham,"['hi', 'hun!', 'im', 'not', 'comin', '2nite-tell', 'every1', 'im', 'sorry', '4', 'me,', 'hope', 'u', 'ava', 'goodtime!oli', 'rang', 'melnite', 'ifink', 'it', 'mite', 'b', 'sorted,but', 'il', 'explain', 'everythin', 'on', 'mon.l8rs.x']"
1250,ham,"['i', 'call', 'you', 'later,', ""don't"", 'have', 'network.', 'if', 'urgnt,', 'sms', 'me.']"
1251,ham,"['ummmmmaah', 'many', 'many', 'happy', 'returns', 'of', 'd', 'day', 'my', 'dear', 'sweet', 'heart..', 'happy', 'birthday', 'dear']"
1252,spam,"['please', 'call', 'phonenumber', 'immediately', 'as', 'there', 'is', 'an', 'urgent', 'message', 'waiting', 'for', 'you']"
1253,ham,"['yeah', 'like', 'if', 'it', 'goes', 'like', 'it', 'did', 'with', 'my', 'friends', 'imma', 'flip', 'my', 'shit', 'in', 'like', 'half', 'an', 'hour']"
1254,ham,"['mum', 'say', 'we', 'wan', 'to', 'go', 'then', 'go...', 'then', 'she', 'can', 'shun', 'bian', 'watch', 'da', 'glass', 'exhibition...']"
1255,ham,"['what', 'your', 'plan', 'for', 'pongal?']"
1256,ham,"['just', 'wait', 'till', 'end', 'of', 'march', 'when', 'el', 'nino', 'gets', 'himself.', 'oh.']"
1257,ham,"['not', 'yet', 'chikku..going', 'to', 'room', 'nw,', ""i'm"", 'in', 'bus..']"
1258,ham,"['am', 'also', 'doing', 'in', 'cbe', 'only.', 'but', 'have', 'to', 'pay.']"
1259,ham,"['honey', 'boo', ""i'm"", 'missing', 'u.']"
1260,ham,"['we', 'have', 'sent', 'jd', 'for', 'customer', 'service', 'cum', 'accounts', 'executive', 'to', 'ur', 'mail', 'id,', 'for', 'details', 'contact', 'us']"
1261,ham,"['yo,', ""i'm"", 'at', 'my', ""parents'"", 'gettin', 'cash.', 'good', 'news:', 'we', 'picked', 'up', 'a', 'downstem']"
1262,ham,"['thank', 'you', 'so', 'much.', 'when', 'we', 'skyped', 'wit', 'kz', 'and', 'sura,', 'we', 'didnt', 'get', 'the', 'pleasure', 'of', 'your', 'company.', 'hope', 'you', 'are', 'good.', ""we've"", 'given', 'you', 'ultimatum', 'oh!', 'we', 'are', 'countin', 'down', 'to', 'aburo.', 'enjoy!']"
1263,spam,"['hungry', 'gay', 'guys', 'feeling', 'hungry', 'and', 'up', '4', 'it,', 'now.', 'call', 'phonenumber', 'just', 'costperperiod', 'to', 'stop', 'texts', 'call', 'phonenumber', 'costperperiod']"
1264,ham,"['ok.', 'no', 'wahala.', 'just', 'remember', 'that', 'a', 'friend', 'in', 'need', '...']"
1265,ham,"['i', 'will', 'see', 'in', 'half', 'an', 'hour']"
1266,ham,"['im', 'in', 'inperialmusic', 'listening2the', 'weirdest', 'track', 'ever', 'by\x94leafcutter', 'john\x94-sounds', 'like', 'insects', 'being', 'molested&someone', 'plumbing,remixed', 'by', 'evil', 'men', 'on', 'acid!']"
1267,ham,"['hey', 'sorry', 'i', 'didntgive', 'ya', 'a', 'a', 'bellearlier', 'hunny,just', 'been', 'in', 'bedbut', 'mite', 'go', '2', 'thepub', 'l8tr', 'if', 'uwana', 'mt', 'up?loads', 'a', 'luv', 'jenxxx.']"
1268,ham,"['seriously.', 'tell', 'her', 'those', 'exact', 'words', 'right', 'now.']"
1269,spam,"['can', 'u', 'get', '2', 'phone', 'now?', 'i', 'wanna', 'chat', '2', 'set', 'up', 'meet', 'call', 'me', 'now', 'on', 'phonenumber', 'u', 'can', 'cum', 'here', '2moro', 'luv', 'jane', 'xx', 'calls£1/minmoremobsemspobox45po139wa']"
1270,ham,"['tee', 'hee.', 'off', 'to', 'lecture,', 'cheery', 'bye', 'bye.']"
1271,ham,"['sorry', 'chikku,', 'my', 'cell', 'got', 'some', 'problem', 'thts', 'y', 'i', 'was', 'nt', 'able', 'to', 'reply', 'u', 'or', 'msg', 'u..']"
1272,ham,"['if', 'you', 'still', 'havent', 'collected', 'the', 'dough', 'pls', 'let', 'me', 'know', 'so', 'i', 'can', 'go', 'to', 'the', 'place', 'i', 'sent', 'it', 'to', 'get', 'the', 'control', 'number']"
1273,ham,['ok...']
1274,spam,"['network', 'operator.', 'the', 'service', 'is', 'marketword', 'for', 't', '&', ""c's"", 'visit', '80488.biz']"
1275,ham,"['let', 'me', 'know', 'how', 'to', 'contact', 'you.', ""i've"", 'you', 'settled', 'in', 'a', 'room.', 'lets', 'know', 'you', 'are', 'ok.']"
1276,ham,"['wot', 'u', 'up', '2', 'u', 'weirdo?']"
1277,ham,"['can', 'do', 'lor...']"
1278,ham,"['dont', 'put', 'your', 'phone', 'on', 'silent', 'mode', 'ok']"
1279,ham,"['can', 'i', 'meet', 'ü', 'at', '5..', 'as', '4', 'where', 'depends', 'on', 'where', 'ü', 'wan', '2', 'in', 'lor..']"
1280,ham,"['waiting', '4', 'my', 'tv', 'show', '2', 'start', 'lor...', 'u', 'leh', 'still', 'busy', 'doing', 'ur', 'report?']"
1281,ham,"['oh', 'ho.', 'is', 'this', 'the', 'first', 'time', 'u', 'use', 'these', 'type', 'of', 'words']"
1282,ham,"['am', 'i', 'the', 'only', 'one', 'who', ""doesn't"", 'stalk', 'profiles?']"
1283,ham,"['ever', 'green', 'quote', 'ever', 'told', 'by', 'jerry', 'in', 'cartoon', '""a', 'person', 'who', 'irritates', 'u', 'always', 'is', 'the', 'one', 'who', 'loves', 'u', 'vry', 'much', 'but', 'fails', 'to', 'express', 'it...!..!!', ':-)', ':-)', 'gud', 'nyt']"
1284,ham,"['yes', 'i', 'thought', 'so.', 'thanks.']"
1285,ham,"['but', 'if', 'she.s', 'drinkin', ""i'm"", 'ok.']"
1286,ham,"['just', 'wondering,', 'the', 'others', 'just', 'took', 'off']"
1287,ham,"['night', 'has', 'ended', 'for', 'another', 'day,', 'morning', 'has', 'come', 'in', 'a', 'special', 'way.', 'may', 'you', 'smile', 'like', 'the', 'sunny', 'rays', 'and', 'leaves', 'your', 'worries', 'at', 'the', 'blue', 'blue', 'bay.', 'gud', 'mrng']"
1288,ham,"['what', 'do', 'you', 'do,', 'my', 'dog', '?', 'must', 'i', 'always', 'wait', 'till', 'the', 'end', 'of', 'your', 'day', 'to', 'have', 'word', 'from', 'you', '?', 'did', 'you', 'run', 'out', 'of', 'time', 'on', 'your', 'cell', 'already?']"
1289,ham,"['happy', 'new', 'year', 'to', 'u', 'too!']"
1290,ham,"['hey...great', 'deal...farm', 'tour', '9am', 'to', '5pm', '$95/pax,', '$50', 'deposit', 'by', '16', 'may']"
1291,ham,"['eat', 'jap', 'done', 'oso', 'aft', 'ur', 'lect', 'wat...', 'ü', 'got', 'lect', 'at', '12', 'rite...']"
1292,ham,"['hey', 'babe!', 'i', 'saw', 'you', 'came', 'online', 'for', 'a', 'second', 'and', 'then', 'you', 'disappeared,', 'what', 'happened', '?']"
1293,ham,"['da', 'my', 'birthdate', 'in', 'certificate', 'is', 'in', 'april', 'but', 'real', 'date', 'is', 'today.', 'but', 'dont', 'publish', 'it.', 'i', 'shall', 'give', 'you', 'a', 'special', 'treat', 'if', 'you', 'keep', 'the', 'secret.', 'any', 'way', 'thanks', 'for', 'the', 'wishes']"
1294,ham,"['happy', 'birthday...', 'may', 'all', 'ur', 'dreams', 'come', 'true...']"
1295,ham,"['aiyah', 'u', 'did', 'ok', 'already', 'lar.', 'e', 'nydc', 'at', 'wheellock?']"
1296,ham,"['tell', 'her', 'i', 'said', 'eat', 'shit.']"
1297,ham,"['sure!', 'i', 'am', 'driving', 'but', 'will', 'reach', 'my', 'destination', 'soon.']"
1298,ham,"['k', 'so', 'am', 'i,', 'how', 'much', 'for', 'an', '8th?', 'fifty?']"
1299,ham,"['your', 'daily', 'text', 'from', 'me', '–', 'a', 'favour', 'this', 'time']"
1300,ham,"['great', 'to', 'hear', 'you', 'are', 'settling', 'well.', 'so', ""what's"", 'happenin', 'wit', 'ola?']"
1301,ham,"['those', 'cocksuckers.', 'if', 'it', 'makes', 'you', 'feel', 'better', 'appledevice', 'are', 'worthless', 'garbage', 'novelty', 'items', 'and', 'you', 'should', 'feel', 'bad', 'for', 'even', 'wanting', 'one']"
1302,ham,"['i', 'tot', 'u', 'reach', 'liao.', 'he', 'said', 't-shirt.']"
1303,ham,"['fran', 'i', 'decided', '2', 'go', 'n', 'e', 'way', 'im', 'completely', 'broke', 'an', 'knackered', 'i', 'got', 'up', 'bout', '3', 'c', 'u', '2mrw', 'love', 'janx', 'p.s', 'this', 'is', 'my', 'dads', 'fone,', '-no', 'credit']"
1304,ham,"['i', 'cant', 'pick', 'the', 'phone', 'right', 'now.', 'pls', 'send', 'a', 'message']"
1305,ham,"['your', 'right!', ""i'll"", 'make', 'the', 'appointment', 'right', 'now.']"
1306,ham,"['designation', 'is', 'software', 'developer', 'and', 'may', 'be', 'she', 'get', 'chennai:)']"
1307,spam,"['enjoy', 'the', 'jamster', 'videosound', 'gold', 'club', 'with', 'your', 'credits', 'for', '2', 'new', 'videosounds+2', 'logos+musicnews!', 'get', 'more', 'fun', 'from', 'website', '16+only', 'help?', 'call:', 'phonenumber']"
1308,spam,"['get', '3', 'lions', 'england', 'tone,', 'reply', 'lionm', '4', 'mono', 'or', 'lionp', '4', 'poly.', '4', 'more', 'go', '2', 'website', 'the', 'original', 'n', 'best.', 'tones', '3gbp', 'network', 'operator', 'rates', 'apply']"
1309,ham,"['i', 'jokin', 'oni', 'lar..', 'ü', 'busy', 'then', 'i', 'wun', 'disturb', 'ü.']"
1310,ham,"['ok,', 'be', 'careful', '!', ""don't"", 'text', 'and', 'drive', '!']"
1311,ham,"['i.ll', 'always', 'be', 'there,', 'even', 'if', 'its', 'just', 'in', 'spirit.', 'i.ll', 'get', 'a', 'bb', 'soon.', 'just', 'trying', 'to', 'be', 'sure', 'i', 'need', 'it.']"
1312,ham,"['u', 'r', 'too', 'much', 'close', 'to', 'my', 'heart.', 'if', 'u', 'go', 'away', 'i', 'will', 'be', 'shattered.', 'plz', 'stay', 'with', 'me.']"
1313,ham,"['i', 'love', 'u', '2', 'babe!', 'r', 'u', 'sure', 'everything', 'is', 'alrite.', 'is', 'he', 'being', 'an', 'idiot?', 'txt', 'bak', 'girlie']"
1314,ham,"['how', 'abt', 'making', 'some', 'of', 'the', 'pics', 'bigger?']"
1315,ham,"['got', 'but', 'got', '2', 'colours', 'lor.', 'one', 'colour', 'is', 'quite', 'light', 'n', 'e', 'other', 'is', 'darker', 'lor.', 'actually', ""i'm"", 'done', ""she's"", 'styling', 'my', 'hair', 'now.']"
1316,ham,"['whenevr', 'ur', 'sad,', 'whenevr', 'ur', 'gray,', 'remembr', 'im', 'here', '2', 'listn', '2', 'watevr', 'u', 'wanna', 'say,', 'jus', 'walk', 'wid', 'me', 'a', 'little', 'while,&amp;', 'i', 'promise', ""i'll"", 'bring', 'back', 'ur', 'smile.:-)']"
1317,ham,"['why', 'nothing.', 'ok', 'anyway', 'give', 'me', 'treat']"
1318,spam,"['win', 'the', 'newest', '“harry', 'potter', 'and', 'the', 'order', 'of', 'the', 'phoenix', '(book', '5)', 'reply', 'harry,', 'answer', '5', 'questions', '-', 'marketword', 'to', 'be', 'the', 'first', 'among', 'readers!']"
1319,ham,['ok...']
1320,ham,"['correct.', 'so', 'how', 'was', 'work', 'today']"
1321,ham,"['just', 'sent', 'again.', 'do', 'you', 'scream', 'and', 'moan', 'in', 'bed,', 'princess?']"
1322,ham,"['i', 'wake', 'up', 'long', 'ago', 'already...', 'dunno,', 'what', 'other', 'thing?']"
1323,ham,"['oh', 'just', 'getting', 'even', 'with', 'u....', 'u?']"
1324,ham,"['i', 'thk', '50', 'shd', 'be', 'ok', 'he', 'said', 'plus', 'minus', '10..', 'did', 'ü', 'leave', 'a', 'line', 'in', 'between', 'paragraphs?']"
1325,ham,"['can', 'you', 'call', 'me', 'plz.', 'your', 'number', 'shows', 'out', 'of', 'coveragd', 'area.', 'i', 'have', 'urgnt', 'call', 'in', 'vasai', '&amp;', 'have', 'to', 'reach', 'before', ""4'o"", 'clock', 'so', 'call', 'me', 'plz']"
1326,ham,"['yeah', ""jay's"", 'sort', 'of', 'a', 'fucking', 'retard']"
1327,ham,"['sorry,', 'was', 'in', 'the', 'bathroom,', 'sup']"
1328,spam,"['ur', 'balance', 'is', 'now', '£500.', 'ur', 'next', 'question', 'is:', 'who', 'sang', ""'uptown"", ""girl'"", 'in', 'the', ""80's"", '?', '2', 'answer', 'txt', 'ur', 'answer', 'to', '83600.', 'good', 'luck!']"
1329,ham,"['my', 'exam', 'is', 'for', 'february', '4.', 'wish', 'you', 'a', 'great', 'day.']"
1330,ham,"['i', 'dont', 'know', 'what', 'to', 'do', 'to', 'come', 'out', 'of', 'this', 'so', 'only', 'am', 'ask', 'questions', 'like', 'this', 'dont', 'mistake', 'me.']"
1331,ham,"['aight', 'no', 'rush,', ""i'll"", 'ask', 'jay']"
1332,ham,"['good', 'morning', 'plz', 'call', 'me', 'sir']"
1333,ham,"[""it's"", 'ok', 'lar.', 'u', 'sleep', 'early', 'too...', 'nite...']"
1334,ham,"['oh...', 'icic...', 'k', 'lor,', 'den', 'meet', 'other', 'day...']"
1335,ham,"['oh', '!', 'a', 'half', 'hour', 'is', 'much', 'longer', 'in', 'syria', 'than', 'canada,', 'eh', '?', 'wow', 'you', 'must', 'get', 'so', 'much', 'more', 'work', 'done', 'in', 'a', 'day', 'than', 'us', 'with', 'all', 'that', 'extra', 'time', '!', '*grins*']"
1336,ham,"['sometimes', 'we', 'put', 'walls', 'around', 'our', 'hearts,not', 'just', 'to', 'be', 'safe', 'from', 'getting', 'hurt..', 'but', 'to', 'find', 'out', 'who', 'cares', 'enough', 'to', 'break', 'the', 'walls', '&amp;', 'get', 'closer..', 'goodnoon:)']"
1337,ham,"['sweet,', 'we', 'may', 'or', 'may', 'not', 'go', 'to', '4u', 'to', 'meet', 'carlos', 'so', 'gauge', ""patty's"", 'interest', 'in', 'that']"
1338,ham,"['then', 'she', 'buying', 'today?', 'ü', 'no', 'need', 'to', 'c', 'meh...']"
1339,ham,"['aight', 'sorry', 'i', 'take', 'ten', 'years', 'to', 'shower.', ""what's"", 'the', 'plan?']"
1340,ham,"['every', 'monday..nxt', 'week', 'vl', 'be', 'completing..']"
1341,ham,"['might', 'ax', 'well', 'im', 'there.']"
1342,ham,"['just', 'chill', 'for', 'another', '6hrs.', 'if', 'you', 'could', 'sleep', 'the', 'pain', 'is', 'not', 'a', 'surgical', 'emergency', 'so', 'see', 'how', 'it', 'unfolds.', 'okay']"
1343,ham,"['yeah', ""i'll"", 'try', 'to', 'scrounge', 'something', 'up']"
1344,ham,"['crazy', 'ar', ""he's"", 'married.', 'ü', 'like', 'gd', 'looking', 'guys', 'not', 'me.', 'my', 'frens', 'like', 'say', ""he's"", 'korean', ""leona's"", 'fave', 'but', 'i', 'dun', 'thk', 'he', 'is.', 'aft', 'some', 'thinking', 'mayb', 'most', 'prob', ""i'll"", 'go.']"
1345,ham,"['were', 'somewhere', 'on', 'fredericksburg']"
1346,ham,"['que', 'pases', 'un', 'buen', 'tiempo', 'or', 'something', 'like', 'that']"
1347,ham,"['is', 'it', 'ok', 'if', 'i', 'stay', 'the', 'night', 'here?', 'xavier', 'has', 'a', 'sleeping', 'bag', 'and', ""i'm"", 'getting', 'tired']"
1348,ham,"['she', 'doesnt', 'need', 'any', 'test.']"
1349,ham,"['nothing', 'much,', 'chillin', 'at', 'home.', 'any', 'super', 'bowl', 'plan?']"
1350,spam,"['marketword', 'sexy', 'st', ""george's"", 'day', 'pic', 'of', 'jordan!txt', 'pic', 'to', '89080', 'dont', 'miss', 'out,', 'then', 'every', 'wk', 'a', 'saucy', 'celeb!4', 'more', 'pics', 'c', 'website', 'phonenumber', '£3/wk']"
1351,ham,"['bugis', 'oso', 'near', 'wat...']"
1352,ham,"['yo', 'theres', 'no', 'class', 'tmrw', 'right?']"
1353,ham,"['let', 'ur', 'heart', 'be', 'ur', 'compass', 'ur', 'mind', 'ur', 'map', 'ur', 'soul', 'ur', 'guide', 'and', 'u', 'will', 'never', 'loose', 'in', 'world....gnun', '-', 'sent', 'via', 'website']"
1354,ham,"['goodnight,', 'sleep', 'well', 'da', 'please', 'take', 'care', 'pa.', 'please.']"
1355,ham,"['baaaaabe!', 'i', 'misss', 'youuuuu', '!', 'where', 'are', 'you', '?', 'i', 'have', 'to', 'go', 'and', 'teach', 'my', 'class', 'at', '5', '...']"
1356,ham,"['convey', 'my', 'regards', 'to', 'him']"
1357,ham,"['u', 'ned', 'to', 'convince', 'him', 'tht', 'its', 'not', 'possible', 'witot', 'hurting', 'his', 'feeling', 'its', 'the', 'main']"
1358,ham,"['good', 'afternoon', 'loverboy', '!', 'how', 'goes', 'you', 'day', '?', 'any', 'luck', 'come', 'your', 'way?', 'i', 'think', 'of', 'you,', 'sweetie', 'and', 'send', 'my', 'love', 'across', 'the', 'sea', 'to', 'make', 'you', 'smile', 'and', 'happy']"
1359,ham,"['if', 'i', 'start', 'sending', 'blackberry', 'torch', 'to', 'nigeria', 'will', 'you', 'find', 'buyer', 'for', 'me?like', '4a', 'month.', 'and', 'tell', 'dad', 'not', 'to', 'buy', 'bb', 'from', 'anyone', 'oh.']"
1360,ham,"['&lt;#&gt;', '%of', 'pple', 'marry', 'with', 'their', 'lovers...', 'becz', 'they', 'hav', 'gud', 'undrstndng', 'dat', 'avoids', 'problems.', 'i', 'sent', 'dis', '2', 'u,', 'u', 'wil', 'get', 'gud', 'news', 'on', 'friday', 'by', 'd', 'person', 'you', 'like.', 'and', 'tomorrow', 'will', 'be', 'the', 'best', 'day', 'of', 'your', 'life.', 'dont', 'break', 'this', 'chain.', 'if', 'you', 'break', 'you', 'will', 'suffer.', 'send', 'this', 'to', '&lt;#&gt;', 'frnds', 'in', '&lt;#&gt;', 'mins', 'whn', 'u', 'read...']"
1361,ham,"['yo', 'dude', 'guess', 'who', 'just', 'got', 'arrested', 'the', 'other', 'day']"
1362,ham,"['shuhui', 'say', 'change', '2', 'suntec', 'steamboat?', 'u', 'noe', 'where?', 'where', 'r', 'u', 'now?']"
1363,ham,"['what', 'does', 'the', 'dance', 'river', 'do?']"
1364,ham,"['yetunde,', ""i'm"", 'sorry', 'but', 'moji', 'and', 'i', 'seem', 'too', 'busy', 'to', 'be', 'able', 'to', 'go', 'shopping.', 'can', 'you', 'just', 'please', 'find', 'some', 'other', 'way', 'to', 'get', 'what', 'you', 'wanted', 'us', 'to', 'get.', 'please', 'forgive', 'me.', 'you', 'can', 'reply', 'marketword', 'via', 'yahoo', 'messenger.']"
1365,ham,"['hey', 'i', 'will', 'be', 'really', 'pretty', 'late...', 'you', 'want', 'to', 'go', 'for', 'the', 'lesson', 'first?', 'i', 'will', 'join', 'you.', ""i'm"", 'only', 'reaching', 'tp', 'mrt']"
1366,spam,"['hot', 'live', 'fantasies', 'call', 'now', 'phonenumber', 'just', '20p', 'per', 'min', 'ntt', 'ltd,', 'po', 'box', '1327', 'croydon', 'cr9', '5wb', '0870..k']"
1367,ham,"['bbq', 'this', 'sat', 'at', 'mine', 'from', '6ish.', 'ur', 'welcome', '2', 'come']"
1368,ham,"['i', ""don't"", 'know,', 'same', 'thing', ""that's"", 'wrong', 'everyso', 'often,', 'he', 'panicks', 'starts', 'goin', 'on', 'bout', 'not', 'bein', 'good', 'enough', '…']"
1369,ham,"['alright.', ""i'm"", 'out--have', 'a', 'good', 'night!']"
1370,ham,"['did', 'you', 'try', 'making', 'another', 'butt.']"
1371,ham,"['hope', 'you', 'are', 'feeling', 'great.', 'pls', 'fill', 'me', 'in.', 'abiola']"
1372,ham,"['i', 'though', 'we', 'shd', 'go', 'out', 'n', 'have', 'some', 'fun', 'so', 'bar', 'in', 'town', 'or', 'something', '–', 'sound', 'ok?']"
1373,ham,"['1)', 'go', 'to', 'write', 'msg', '2)', 'put', 'on', 'dictionary', 'mode', '3)cover', 'the', 'screen', 'with', 'hand,', '4)press', '&lt;#&gt;', '.', '5)gently', 'remove', 'ur', 'hand..', 'its', 'interesting..:)']"
1374,spam,"['bears', 'pic', 'nick,', 'and', 'tom,', 'pete', 'and', '...', 'dick.', 'in', 'fact,', 'all', 'types', 'try', 'gay', 'chat', 'with', 'photo', 'upload', 'call', 'phonenumber', 'costperperiod', '2', 'stop', 'texts', 'call', 'phonenumber']"
